Var1,Vg
0.00614439324116743,1.358
0.0184331797235023,1.358
0.0317460317460317,1.358
0.0440348182283666,1.358
0.0563236047107015,1.358
0.0686123911930363,1.358
0.0809011776753712,1.358
0.0942140296979007,1.358
0.106502816180236,1.358
0.11879160266257,1.358
0.131080389144905,1.358
0.14336917562724,1.358
0.15668202764977,1.358
0.168970814132104,1.358
0.181259600614439,1.358
0.193548387096774,1.358
0.205837173579109,1.358
0.219150025601638,1.358
0.231438812083973,1.358
0.243727598566308,1.358
0.256016385048643,1.358
0.268305171530978,1.358
0.281618023553507,1.358
0.293906810035842,1.358
0.306195596518177,1.358
0.318484383000512,1.358
0.330773169482847,1.357
0.344086021505376,1.357
0.356374807987711,1.357
0.368663594470046,1.357
0.380952380952381,1.356
0.393241167434716,1.356
0.406554019457245,1.356
0.41884280593958,1.355
0.431131592421915,1.354
0.44342037890425,1.354
0.456733230926779,1.352
0.469022017409114,1.351
0.481310803891449,1.351
0.493599590373784,1.35
0.505888376856119,1.349
0.519201228878648,1.348
0.531490015360983,1.347
0.543778801843318,1.346
0.556067588325653,1.345
0.568356374807988,1.344
0.581669226830517,1.343
0.593958013312852,1.341
0.606246799795187,1.34
0.618535586277522,1.339
0.630824372759857,1.337
0.644137224782386,1.336
0.656426011264721,1.334
0.668714797747056,1.333
0.681003584229391,1.33
0.693292370711726,1.328
0.706605222734255,1.327
0.71889400921659,1.325
0.731182795698925,1.323
0.74347158218126,1.321
0.755760368663594,1.319
0.769073220686124,1.317
0.781362007168459,1.315
0.793650793650794,1.313
0.805939580133128,1.311
0.819252432155658,1.307
0.831541218637993,1.305
0.843830005120328,1.303
0.856118791602662,1.3
0.868407578084997,1.298
0.881720430107527,1.295
0.894009216589862,1.293
0.906298003072197,1.29
0.918586789554531,1.288
0.930875576036866,1.283
0.944188428059396,1.279
0.956477214541731,1.275
0.968766001024065,1.27
0.9810547875064,1.262
0.993343573988735,1.25
