Var1,Vg
0.00614439324116743,0
0.0184331797235023,0
0.0317460317460317,0
0.0440348182283666,0
0.0563236047107015,0
0.0686123911930363,0
0.0809011776753712,0
0.0942140296979007,0
0.106502816180236,0
0.11879160266257,0
0.131080389144905,0
0.14336917562724,0
0.15668202764977,0
0.168970814132104,0
0.181259600614439,0
0.193548387096774,0
0.205837173579109,0
0.219150025601638,0
0.231438812083973,0
0.243727598566308,0
0.256016385048643,1.148
0.268305171530978,1.151
0.281618023553507,1.153
0.293906810035842,1.156
0.306195596518177,1.157
0.318484383000512,1.157
0.330773169482847,1.157
0.344086021505376,1.157
0.356374807987711,1.157
0.368663594470046,1.157
0.380952380952381,1.157
0.393241167434716,1.157
0.406554019457245,1.157
0.41884280593958,1.157
0.431131592421915,1.158
0.44342037890425,1.159
0.456733230926779,1.161
0.469022017409114,1.163
0.481310803891449,1.166
0.493599590373784,1.17
0.505888376856119,1.175
0.519201228878648,1.182
0.531490015360983,1.188
0.543778801843318,1.194
0.556067588325653,1.203
0.568356374807988,1.21
0.581669226830517,1.223
0.593958013312852,1.246
0.606246799795187,1.299
0.618535586277522,1.364
0.630824372759857,1.425
0.644137224782386,1.451
0.656426011264721,1.464
0.668714797747056,1.474
0.681003584229391,1.483
0.693292370711726,1.492
0.706605222734255,1.499
0.71889400921659,1.505
0.731182795698925,1.512
0.74347158218126,1.517
0.755760368663594,1.522
0.769073220686124,1.526
0.781362007168459,1.531
0.793650793650794,1.534
0.805939580133128,1.537
0.819252432155658,1.54
0.831541218637993,1.542
0.843830005120328,1.544
0.856118791602662,1.546
0.868407578084997,1.548
0.881720430107527,1.549
0.894009216589862,1.552
0.906298003072197,1.553
0.918586789554531,1.555
0.930875576036866,1.556
0.944188428059396,1.558
0.956477214541731,1.56
0.968766001024065,1.562
0.9810547875064,1.563
0.993343573988735,1.563
